YEAR_FLAG,FFY,SCHOOL_YEAR,GROUP,GRADE_LEVEL,SUBJECT,TOT_IEP_CNT,TOT_PROFICIENT_CNT,TOT_PROFICIENT_PCT,R_WITH_CNT,R_WITH_PCT,A_WITH_CNT,A_WITH_PCT,R_WOUT_CNT,R_WOUT_PCT,A_WOUT_CNT,A_WOUT_PCT,TOT_RA_WITH_CNT,TOT_RA_WITH_PCT,TOT_RA_WOUT_CNT,TOT_RA_WOUT_PCT,DATE_PROCESSED
2022,FFY 2020,SY 2020-21,REGION 01,GRADE 04,ELA,2118,139,6.56,85,61.15,0,0,54,38.85,0,0,85,61.15,54,38.85,4/22/25
2022,FFY 2020,SY 2020-21,REGION 02,GRADE 04,ELA,807,83,10.29,41,49.4,0,0,42,50.6,0,0,41,49.4,42,50.6,4/22/25
2022,FFY 2020,SY 2020-21,REGION 03,GRADE 04,ELA,388,33,8.51,15,45.45,0,0,18,54.55,0,0,15,45.45,18,54.55,4/22/25
2022,FFY 2020,SY 2020-21,REGION 04,GRADE 04,ELA,8925,1045,11.71,424,40.57,0,0,621,59.43,0,0,424,40.57,621,59.43,4/22/25
2022,FFY 2020,SY 2020-21,REGION 05,GRADE 04,ELA,659,64,9.71,26,40.63,0,0,38,59.38,0,0,26,40.63,38,59.38,4/22/25
2022,FFY 2020,SY 2020-21,REGION 06,GRADE 04,ELA,1655,192,11.6,77,40.1,0,0,115,59.9,0,0,77,40.1,115,59.9,4/22/25
2022,FFY 2020,SY 2020-21,REGION 07,GRADE 04,ELA,1349,170,12.6,87,51.18,0,0,83,48.82,0,0,87,51.18,83,48.82,4/22/25
2022,FFY 2020,SY 2020-21,REGION 08,GRADE 04,ELA,485,61,12.58,24,39.34,0,0,37,60.66,0,0,24,39.34,37,60.66,4/22/25
2022,FFY 2020,SY 2020-21,REGION 09,GRADE 04,ELA,417,39,9.35,16,41.03,0,0,23,58.97,0,0,16,41.03,23,58.97,4/22/25
2022,FFY 2020,SY 2020-21,REGION 10,GRADE 04,ELA,7009,1065,15.19,441,41.41,0,0,624,58.59,0,0,441,41.41,624,58.59,4/22/25
2022,FFY 2020,SY 2020-21,REGION 11,GRADE 04,ELA,4930,678,13.75,265,39.09,0,0,413,60.91,0,0,265,39.09,413,60.91,4/22/25
2022,FFY 2020,SY 2020-21,REGION 12,GRADE 04,ELA,1535,140,9.12,61,43.57,0,0,79,56.43,0,0,61,43.57,79,56.43,4/22/25
2022,FFY 2020,SY 2020-21,REGION 13,GRADE 04,ELA,3151,374,11.87,167,44.65,0,0,207,55.35,0,0,167,44.65,207,55.35,4/22/25
